ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002510
2389	Plasmoids	2389	1,723,847.00	303.02	303.33	302.07	0.42	303.00	303.33	300,259.00	616.18	5,000.00	498.99	1,944.56	2,765.00	528.92							
2390	Electrolytes	2390	1,100,000.00	128.20	400.00	101.02	149.49	101.02	400.00	2,265,311.00	643.03	698.00	527.00	65.18	684.96	536.64							
2392	Oxidizing Compound	2392	1,060,000.00	673.56	680.00	7.45	316.57	680.00	680.00	24,560.00	1,182.22	1,250.00	1,176.00	34.42	1,177.99	1,176.00							
2393	Bacteria	2393	2,670,000.00	131.55	230.01	20.03	70.90	200.01	212.14	1,078,275.00	379.10	422.00	368.99	13.69	380.00	368.99							
2395	Proteins	2395	1,400,000.00	581.86	601.00	512.01	44.24	600.50	601.00	170,598.00	2,869.91	19,999.00	1,200.00	8,090.18	1,376.04	1,249.68							
2396	Biofuels	2396	1,000,000.00	201.00	201.00	201.00	0.00	201.00	201.00	698,686.00	272.61	279.96	260.00	6.30	274.62	264.45							
2397	Industrial Fibers	2397	3,270,000.00	663.37	1,100.00	366.87	239.57	824.00	843.04	23,460.00	10,503.19	11,750.00	2,000.00	4,596.19	11,749.99	2,000.00							
2398	Reactive Metals	2398	1,184,000.00	209.86	356.02	194.34	64.02	194.34	346.79	367,938.00	639.81	750.00	420.00	114.09	648.97	427.68							
2399	Precious Metals	2399	1,050,000.00	535.95	551.00	235.00	158.00	393.00	551.00	1,031,972.00	797.97	797.99	797.97	0.01	797.97	797.97							
2400	Toxic Metals	2400	5,500,000.00	72.76	300.00	50.04	124.98	50.04	300.00	546,706.00	726.16	809.97	400.00	155.31	804.99	400.00							
